Driver,Fastest Lap Time,Average Lap Time,Sector 1 Average,Sector 2 Average,Sector 3 Average,Positions
RIC,88.571,91.01470689655174,18.909894736842105,38.59548275862069,33.413275862068964,"[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 17.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 17.0, 17.0, 14.0, 13.0, 11.0, 11.0, 12.0, 12.0, 11.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 11.0, 11.0, 12.0, 18.0, 17.0, 16.0, 16.0, 16.0, 16.0, 15.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 12.0, 12.0, 12.0, 12.0, 12.0, 11.0, 11.0]"
OCO,90.033,91.18960344827586,18.668561403508768,38.571827586206894,33.86743103448276,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.0, 9.0, 8.0, 16.0, 15.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 11.0, 11.0, 12.0, 12.0, 12.0, 12.0, 12.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.0, 8.0, 8.0, 10.0, 10.0, 10.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 12.0, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 12.0, 12.0]"
GAS,89.016,91.2583448275862,18.973333333333336,38.57496551724138,33.6355,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 7.0, 5.0, 5.0, 6.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 14.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 18.0, 17.0, 17.0, 17.0, 17.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 13.0]"
ALB,87.845,91.30703448275861,18.95122807017544,38.37243103448276,33.88,"[17.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 17.0, 15.0, 13.0, 11.0, 12.0, 19.0, 19.0, 19.0, 19.0, 19.0, 18.0, 18.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 16.0, 16.0, 15.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 17.0, 16.0, 16.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 14.0]"
HUL,89.217,91.48827586206896,18.99182456140351,38.89715517241379,33.521103448275866,"[13.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 19.0, 19.0, 18.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 15.0, 15.0, 15.0, 16.0, 16.0, 15.0, 15.0, 15.0, 14.0, 14.0, 18.0, 18.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 15.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 15.0]"
SAR,88.58,91.55887931034482,18.957,38.49175862068966,34.00422413793103,"[20.0, 20.0, 20.0, 20.0, 19.0, 19.0, 19.0, 18.0, 18.0, 18.0, 18.0, 18.0, 17.0, 14.0, 16.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 18.0, 18.0, 17.0, 16.0, 15.0, 15.0, 15.0, 14.0, 14.0, 15.0, 16.0, 16.0, 20.0, 20.0, 20.0, 20.0, 20.0, 19.0, 19.0, 19.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 17.0, 16.0]"
ZHO,88.746,91.587,19.06017543859649,38.72377586206896,33.69803448275862,"[18.0, 17.0, 17.0, 17.0, 17.0, 17.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 20.0, 20.0, 19.0, 18.0, 18.0, 18.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 18.0, 18.0, 18.0, 18.0, 17.0, 17.0, 16.0, 15.0, 14.0, 14.0, 14.0, 15.0, 20.0, 20.0, 19.0, 19.0, 18.0, 17.0, 16.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 18.0, 17.0]"
SAI,89.452,91.41970175438598,19.046428571428574,38.649596491228074,33.63080701754386,"[14.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 12.0, 11.0, 9.0, 7.0, 5.0, 3.0, 4.0, 4.0, 5.0, 6.0, 6.0, 16.0, 16.0, 16.0, 15.0, 14.0, 14.0, 14.0, 14.0, 12.0, 12.0, 12.0, 12.0, 11.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 11.0, 15.0]"
BOT,89.863,91.84271929824561,18.87367857142857,38.87791228070176,33.987947368421054,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 13.0, 12.0, 10.0, 8.0, 8.0, 7.0, 8.0, 10.0, 11.0, 12.0, 12.0, 12.0, 13.0, 14.0, 14.0, 15.0, 16.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 18.0, 18.0, 18.0, 18.0, 17.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0]"
MAG,89.934,91.8859649122807,19.084142857142858,38.880526315789474,33.82035087719298,"[19.0, 19.0, 19.0, 19.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 18.0, 18.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 19.0, 19.0, 20.0, 20.0, 19.0, 19.0, 19.0, 19.0, 19.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]"
