Driver,Fastest Lap Time,Average Lap Time,STD Lap Time,Sector 1 Average,Sector 2 Average,Sector 3 Average,Qualifying Position,Finish Position
RUS,74.119,78.7526857142857,10.93324832079111,21.742985507246377,24.501242857142856,32.44052857142857,1.0,1.0
VER,74.287,78.75594285714286,10.787910283388946,21.729159420289854,24.563942857142855,32.38657142857143,2.0,2.0
ANT,74.455,78.76717142857142,10.656025774812548,21.734115942028986,24.58925714285714,32.36098571428572,4.0,3.0
PIA,74.255,78.78281428571428,10.501405669572943,21.76372463768116,24.631428571428568,32.301571428571435,3.0,4.0
LEC,74.261,78.80185714285714,9.552108835653165,21.810565217391307,24.591385714285714,32.295314285714284,8.0,5.0
HAM,74.805,78.90572857142858,8.47800328231229,21.97968115942029,24.42478571428571,32.413199999999996,5.0,6.0
ALO,75.024,78.90942857142858,6.874853772099819,21.956507246376816,24.53547142857143,32.32492857142857,6.0,7.0
HUL,75.372,78.97217142857143,6.638788691086497,22.019159420289853,24.709171428571437,32.12708571428572,13.0,8.0
OCO,74.593,79.9153768115942,10.007701738655937,22.211867647058824,25.057681159420287,32.5201884057971,15.0,9.0
SAI,74.389,79.92136231884058,9.98308697424758,22.17669117647059,25.090101449275362,32.52331884057971,17.0,10.0
BEA,75.397,79.94789855072463,9.522110413602567,22.364147058823534,24.92801449275363,32.535318840579706,14.0,11.0
TSU,75.358,79.97310144927536,9.135858065004674,22.316926470588243,24.8864347826087,32.631550724637684,11.0,12.0
COL,76.076,79.9957391304348,9.127497681837399,22.355117647058822,24.83868115942029,32.69569565217392,12.0,13.0
BOR,75.414,80.00821739130434,9.074364483468138,22.51516176470588,24.97972463768116,32.38415942028986,16.0,14.0
GAS,74.993,80.00924637681159,9.089158594379967,22.415367647058822,24.919521739130438,32.461652173913045,20.0,15.0
HAD,76.292,80.02065217391304,9.099307120979901,22.600999999999996,24.893884057971015,32.41197101449275,9.0,16.0
STR,74.902,80.02537681159421,9.660524772107662,22.438897058823528,24.70882608695652,32.73527536231884,18.0,17.0
NOR,74.229,76.32530303030302,3.189578845428176,21.23766153846154,24.05724242424242,30.915924242424246,7.0,5.0
LAW,76.32,78.42022641509436,3.0954026021651724,21.8911320754717,24.752666666666666,31.494150943396228,19.0,19.0
ALB,76.197,78.32782608695652,3.523998163550993,21.96168888888889,24.66569565217391,31.527500000000003,10.0,19.0
